
2025/01/05 (23:40:34) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/matcha-dark-sea.theme
2025/01/05 (23:40:35) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:40:35) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:36) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:40:36) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/matcha-dark-sea.theme
2025/01/05 (23:40:47) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:40:47) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:48) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2025/01/05 (23:40:48) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:48) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2025/01/05 (23:40:48) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/ayu.theme
2025/01/05 (23:40:50) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix.theme
2025/01/05 (23:40:52) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-storm.theme
2025/01/05 (23:40:53) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix.theme
2025/01/05 (23:40:53) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-storm.theme
2025/01/05 (23:41:03) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/night-owl.theme
2025/01/05 (23:41:04) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/01/05 (23:41:04) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/nord.theme
2025/01/05 (23:41:05) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/monokai.theme
2025/01/05 (23:41:05) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/nord.theme
2025/01/05 (23:41:21) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dracula.theme
2025/01/05 (23:41:41) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/greyscale.theme
2025/01/05 (23:41:42) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_light.theme
2025/01/05 (23:41:43) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adwaita.theme
2025/01/05 (23:41:44) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-medium.theme
2025/01/05 (23:41:44) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_light.theme
2025/01/05 (23:41:45) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
